"","Country","Gross domestic product, current prices","Inflation, average consumer prices","Inflation, end of period consumer prices","Population","Unemployment rate","Volume of exports of goods and services","Volume of imports of goods and services"
"1","Afghanistan",19.99,1.9,116.557,36.51,NA,5.982,3.751
"2","Albania",15.96,1.999,108.215,2.87,13.719,4.927,5.194
"3","Algeria",183.687,5.6,211.48,43.427,12.575,4.547,8.646
"4","Angola",92.191,17.463,375.112,30.128,NA,1.074,-9.463
"5","Antigua and Barbuda",1.717,1.97,143.138,0.093,NA,5.923,6.078
"6","Argentina",477.743,43.691,450.443,45.052,9.943,10.226,-8.877
"7","Armenia",13.105,2.123,297.897,2.991,17.912,8.64,2.622
"8","Aruba",2.875,1.377,123.245,0.112,NA,NA,NA
"9","Australia",NA,2.017,116.644,25.568,4.793,0.981,1.254
"10","Austria",459.589,1.762,130.471,8.95,5.1,2.736,2.287
"11","Azerbaijan",45.248,2.5,268.519,10.059,4.993,9.587,-2.22
"12","Bahrain",38.952,3.3,135.812,1.511,3.949,2.871,0.556
"13","Bangladesh",314.656,5.378,282.499,166.586,NA,8.07,5.219
"14","Barbados",5.207,1.31,187.682,0.287,10.425,1.812,2.944
"15","Belarus",60.951,4.97,839.715,9.41,0.768,0.012,-0.126
"16","Belgium",531.813,1.93,108.799,11.47,5.9,2.827,2.9
"17","Belize",1.997,1.2,138.589,0.406,10.089,4.54,7.708
"18","Benin",11.184,2.049,117.374,11.722,NA,40.753,19.323
"19","Bhutan",2.84,3.987,237.132,0.83,3.2,16.029,-8.346
"20","Bolivia",43.687,2.302,105.864,11.428,4,9.239,8.086
"21","Bosnia and Herzegovina",20.152,1.467,135.103,3.502,18,3.57,4.097
"22","Botswana",19.651,3.616,337.367,2.378,NA,1.443,7.797
"23","Brazil",NA,3.563,NA,209.791,11.4,4.207,12.734
"24","Brunei Darussalam",13.325,0.274,99.58,0.44,9.3,38.258,39.001
"25","Bulgaria",67.044,2.416,105.481,6.97,5,3.475,5.81
"26","Burkina Faso",14.882,2,113.315,19.996,NA,14.377,2.834
"27","Burundi",3.573,7.315,154.401,11.529,NA,4.976,0.88
"28","C“te d'Ivoire",45.252,2,154.2,26.275,NA,7.916,9.874
"29","Cabo Verde",2.042,1.576,142.215,0.559,8.5,8.841,5.49
"30","Cambodia",26.979,2.542,179.051,16.497,NA,13.564,8.866
"31","Cameroon",39.219,1.192,253.228,25.506,NA,6.583,1.345
"32","Canada",NA,1.693,136.598,37.465,5.891,2.601,0.245
"33","Central African Republic",2.285,3,214.198,5.181,NA,5.978,2.631
"34","Chad",11.372,2.892,142.977,12.802,NA,11.145,-0.96
"35","Chile",295.614,2.336,103.57,18.736,6.493,1.67,1.614
"36","China",NA,2.278,108.93,NA,3.8,3.3,4.141
"37","Colombia",336.599,3.354,103.943,50.382,9.7,4.15,4.511
"38","Comoros",0.726,2,186.715,0.872,NA,4.107,5.169
"39","Costa Rica",60.459,2.611,107.853,5.083,9.659,4.262,3.936
"40","Croatia",61.252,1.475,102.718,4.067,9,6.13,6.882
"41","Cyprus",24.638,0.54,101.531,0.87,7.009,-1.36,0.221
"42","Czech Republic",246.161,2.324,108.257,10.606,3.1,3.72,5.194
"43","Democratic Republic of the Congo",48.458,8.4,NA,97.879,NA,11.466,-5.012
"44","Denmark",349.524,1.1,103.173,5.825,4.858,1.985,2.34
"45","Djibouti",2.392,0.789,105.792,1.078,NA,3.987,6.156
"46","Dominica",0.542,1.607,106.181,0.071,NA,36.667,-0.034
"47","Dominican Republic",84.837,1.359,134.385,10.374,5.2,2.463,4.794
